Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms),Other duration (ms)
2022-08-26,,1397.1749145087272,79.16989517211914,,,,,,,,,,0.26229703620376216,0.317668616771698,0.2544746398925781,224,,,,,,133801,,,
2022-08-27,,1390.372150765462,41.84694480895996,,,,,,,,,,0.28274962306022644,0.28274962306022644,0.28274962306022644,74,,,,,,,,,
2022-08-28,,1390.3721356355534,49.1984338760376,,,,,,,,,,0.3863377152962733,0.6652932167053223,0.28274962306022644,135,,,,,,,,,
2022-08-29,,1390.3721903334708,20.357973098754883,,,,,,,,,,0.28274959325790405,0.28274959325790405,0.28274959325790405,61,,,,,,,,,
2022-08-30,4,1393.4413056586664,76.57215118408203,,,,,,,,,,0.2967551998223557,0.9230888485908508,0.28274959325790405,315,,,,,,60365,,,
2022-08-31,,1390.3721578753273,,,,,,,,,,,,,,32,,,,,,,,,
2022-09-01,,1390.3721675153906,,,,,,,,,,,,,,51,,,,,,,,,
2022-09-02,,1395.9017738191033,,,,,,,,,,,,,,62,,,,,,108760,,,
2022-09-03,3,1390.3721568450164,98.03503800221675,,,,,,,,,,0.2924460144290107,0.35871219635009766,0.28274959325790405,296,,,,,,,,,
2022-09-04,52,1538.8435996233934,2906.6403087299227,29.0,29,,,,,,,,0.5911138652445574,1.472111463546753,0.28274962306022644,4691,,,,,,2669230,109986,,
2022-09-05,138,1752.5882577384596,7145.910141468048,54.0,53,,,,,,,,0.748563513420614,1.6222827434539795,0.28274959325790405,11822,,,,,,7124232,,,
2022-09-06,,1390.372180235814,2.2619969844818115,,,,,,,,,,,,,98,,,,,,,,,
2022-09-07,3,1394.064261625244,109.4133472442627,,,,,,,,,,0.2813724246967774,1.225589394569397,0.2733246386051178,373,,,,,,72618,,,
2022-09-08,3,1398.6169400394401,79.16989326477051,,,,,,,,,,0.4539693226520286,0.5124460151200609,0.2827496162975511,407,,,,,,162162,,,
2022-09-09,,1401.9014168422868,45.239938735961914,,,,,,,,,,0.28274961734900605,0.28274962731875275,0.2827496073792593,179,,,,,,226762,,,
2022-09-10,4,1392.9576018410025,110.83785152435303,,,,,,,,,,0.3837488020239594,0.485940600273904,0.28274959812163836,244,,,,,,50851,,,
2022-09-11,3,1393.1823269038605,84.2593879699707,,,,,,,,,,0.4113746932146679,0.5637645844650966,0.2733246485392253,193,,,,,,55271,,,
2022-09-12,1,1390.3721923828127,39.019447326660156,,,,,,,,,,0.2827496120760603,0.2827496162975511,0.2827496078545696,135,,,,,,,,,
